MMMV	SMILES	DISEASE
MMV676431	Cc1ccc(NC(=O)CC2COc3ccccc3O2)cc1Cl	TUBERCULOSIS
MMV676439	Cc1ccc2nc(Cl)c(CNCc3cccs3)cc2c1	TUBERCULOSIS
MMV676444	O=C(NC1CCCCC1)N2CCN(Cc3ccc4OCOc4c3)CC2	TUBERCULOSIS
MMV676461	CCOC(=O)c1cc(on1)c2csc(Nc3c(C)cc(C)cc3C)n2	TUBERCULOSIS
MMV146306	CCC(C)NC(=O)c1ccc(NC(=O)C2(CCCC2)c3ccccc3)cc1	TUBERCULOSIS
MMV676470	CCOc1ccc(OCC(=O)Nc2cc(C)cc(C)c2)cc1	TUBERCULOSIS
MMV200748	COc1ccc(cc1)C2(CCCC2)C(=O)Nc3ccc(Br)cc3	TUBERCULOSIS
MMV676472	COc1cccc(OC)c1C(=O)Nc2ccc(Cl)c(c2)c3nc4ccccc4s3	TUBERCULOSIS
MMV676476	CC1=C(CCC(=O)O)C(=O)Oc2c(C)c(OCc3cc(C)cc(C)c3)ccc12	TUBERCULOSIS
MMV676477	CCC1=C(C)N=C(NC1=O)n2nc(C)cc2NC(=O)c3ccccc3SC	TUBERCULOSIS
MMV102872	FC(F)(F)c1cccc(c1)C(=O)Nc2oc(nn2)c3ccc(Cl)cc3	TUBERCULOSIS
MMV676526	COc1ccc(cc1)c2cc(NC(=O)c3ccc(F)cc3Cl)ccc2OC	TUBERCULOSIS
MMV393995	Cc1cc(O)nc(n1)n2nc(C)cc2C	TUBERCULOSIS
MMV676554	COc1ccc(Nc2ccccc2NC(=O)c3ccc(O)nc3)cc1	TUBERCULOSIS
MMV676558	CC1=NN(C(=O)C1Cc2cccc3ccccc23)c4nc5ccccc5s4	TUBERCULOSIS
MMV676584	Fc1ccc2c(Cl)c(sc2c1)C(=O)NC3=NCCS3	TUBERCULOSIS
MMV676588	Nc1c2CCCCc2nc3sc4CCCCc4c13	TUBERCULOSIS
MMV676597	CCCn1nnc(NC(=O)COc2ccc(cc2)C3CCCCC3)n1	TUBERCULOSIS
MMV687189	COc1ccc2nc(C)cc(OCC(=O)NCc3ccccc3)c2c1	TUBERCULOSIS
MMV687243	NC(=O)c1cc(Br)ccc1OCCOc2ccccc2	TUBERCULOSIS
MMV687248	Nc1nc2ccc(cc2[nH]1)c3cncc(Oc4ccc(F)cc4)c3	TUBERCULOSIS
MMV687254	CCCCc1ccc(nc1)C(=O)Nc2nccc3ccccc23	TUBERCULOSIS
MMV687700	Nc1ncnc2c1ncn2[C@@H]3O[C@H](COS(=O)(=O)NC(=O)c4ccccc4O)[C@@H](O)[C@H]3O	TUBERCULOSIS
MMV687703	COc1cccc(n1)c2nc3c(cccc3n2CC4CCCN4)N5CCCC5	TUBERCULOSIS
MMV024311	Cc1ccc2[nH]c(C3CCCNC3)c(c4ccncc4)c2c1	TUBERCULOSIS
MMV687729	OC[C@H]1CN(C(=O)O1)c2cc(F)c(C3=CCN(Cc4ccccc4)CC3)c(F)c2	TUBERCULOSIS
MMV687747	Cc1cc(OCC(=O)NCc2ccccc2)c3cc(Br)ccc3n1	TUBERCULOSIS
MMV687807	Oc1ccc(Cl)cc1C(=O)Nc2ccc(c(c2)C(F)(F)F)C(F)(F)F	TUBERCULOSIS
MMV687812	CN1CCN(CCCOc2ncc(Nc3ncc(nc3C(=O)N)c4ccc(c(F)c4)C(F)(F)F)cn2)CC1	TUBERCULOSIS
MMV688553	O=C(NCc1cocc1)N2CCN(Cc3ccc4OCOc4c3)CC2	TUBERCULOSIS
MMV688555	Clc1ccc(CN2CCN(CC2)C(=O)NCc3occc3)s1	TUBERCULOSIS
MMV688557	NCC(c1cccs1)S(=O)(=O)c2ccccc2	TUBERCULOSIS
MMV687251	CN1C(=O)N(C)c2nsc(c2C1=O)S(=O)(=O)C	TUBERCULOSIS
MMV676449	CCc1nc2ccccc2n1CC(O)COc3cc(C)ccc3Cl	TUBERCULOSIS
MMV676401	C(Nc1nc(nc2ccccc12)N3CCCCC3)c4occc4	TUBERCULOSIS
