MMMV	SMILES	DISEASE
MMV1236379	CCOC(=O)c1noc(N)c1c2ccccc2	KINETOPLASTIDS
MMV188296	CNC(=O)C1Cc2ccccc2N1C(=O)Cc3ccc(F)cc3	KINETOPLASTIDS
MMV202553	CCC(=O)Nc1ccccc1C(=O)Nc2ccccn2	KINETOPLASTIDS
MMV652003	OB1OCc2ccc(NC(=O)c3ccccc3C(F)(F)F)cc12	KINETOPLASTIDS
MMV675998	COc1ccc(cc1c2cn(nn2)c3ccc(cc3)C(=N)N)C(=N)N	KINETOPLASTIDS
MMV658988	CN(CCc1ccccc1)c2nc(nc(C)c2Cl)c3ccccn3	KINETOPLASTIDS
MMV659004	Cc1nc(nc(N2CCC(Cc3ccccc3)C2)c1Cl)c4ccccn4	KINETOPLASTIDS
MMV676008	OC(=O)c1cccc2oc(nc12)c3cccc(O)c3NC(=O)c4cc(on4)c5ccccc5	KINETOPLASTIDS
MMV676048	Clc1ccc(Cl)c(CO[C@H]2CCCC[C@@H]2n3ccnc3)c1	KINETOPLASTIDS
MMV045105	C1CN(CCO1)c2cc(n[nH]2)c3ccc(Oc4ccccc4)cc3	KINETOPLASTIDS
MMV676057	CC(C)(C)OC(=O)N1CCN(CC1)c2cc(n[nH]2)c3ccc(Oc4ccccc4)cc3	KINETOPLASTIDS
MMV659010	FC(F)(F)c1cc(NCCc2ccccc2)nc(n1)c3ccccn3	KINETOPLASTIDS
MMV676159	Clc1cccc(CO[C@H]2CCc3ccccc3[C@@H]2n4ccnn4)c1	KINETOPLASTIDS
MMV676161	C(N1CCOCC1)c2cc(n[nH]2)c3ccc(Oc4ccccc4)cc3	KINETOPLASTIDS
MMV676162	OC(=O)c1cccc2oc(nc12)c3ccccc3NC(=O)c4ccccc4	KINETOPLASTIDS
MMV658993	Cc1nc(nc(NCCc2ccc(cc2)S(=O)(=O)C)c1Cl)c3ccccn3	KINETOPLASTIDS
MMV676186	COC(=O)c1cccc2oc(nc12)c3cccc(OC)c3NC(=O)c4cc(on4)c5ccccc5	KINETOPLASTIDS
MMV001561	CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2	KINETOPLASTIDS
MMV676600	CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N4CCN(C)CC4)c2C1)c5ccccc5	KINETOPLASTIDS
MMV676602	CNC(=O)c1nn(C)c2c3nc(Nc4ccc(cc4)N5CCN(C)CC5)ncc3CC(C)(C)c12	KINETOPLASTIDS
MMV676604	CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)S(=O)(=O)C)n2	KINETOPLASTIDS
MMV687706	C1CN(CCN1)c2cc(n[nH]2)c3ccc(Oc4ccccc4)cc3	KINETOPLASTIDS
MMV687762	C1CC(CCO1)c2cc(n[nH]2)c3ccc(Oc4ccccc4)cc3	KINETOPLASTIDS
MMV688179	NC(=N)Nc1ccc(c(Cl)c1)c2oc(cc2)c3ccc(NC(=N)N)cc3Cl	KINETOPLASTIDS
MMV688180	Cc1nn(C)c(C)c1NS(=O)(=O)c2c(Cl)cc(cc2Cl)c3ccnc(c3)N4CCNCC4	KINETOPLASTIDS
MMV688271	NC(=N)Nc1ccc(cc1Cl)c2oc(cc2)c3ccc(N=C(N)N)c(Cl)c3	KINETOPLASTIDS
MMV688273	Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1	KINETOPLASTIDS
MMV688274	Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=O)CN5CCOCC5)cc34)cc2Cl)c1	KINETOPLASTIDS
MMV688279	CC1=Nc2ccc(Cl)cc2C(O)(N1CCN3CCCCC3)c4ccc(C)cc4	KINETOPLASTIDS
MMV688283	CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3ccc4c(Nc5ncc(Cl)cn5)ccnc4c3	KINETOPLASTIDS
MMV688360	COc1ccc(cc1OCc2ccccn2)C3=NN(C4CCCCCC4)C(=O)C3(C)C	KINETOPLASTIDS
MMV688361	C1CN=C(N1)c2ccc(cc2)c3cc(on3)c4cccc(c4)C5=NCCN5	KINETOPLASTIDS
MMV688362	COc1cc(cc2cc(oc12)c3ccc(cc3)C4=NCCN4)C5=NCCN5	KINETOPLASTIDS
MMV688371	NCCN(C(=O)c1ccc(Cl)cc1Cl)c2ccc(OCc3ccc(Cl)cc3)cc2	KINETOPLASTIDS
MMV688407	COc1cc(ccc1c2cn(nn2)c3cccc(c3)C4=NCCN4)C5=NCCN5	KINETOPLASTIDS
MMV688410	CN(C)CC(=O)NCCN1C(c2ccccc2)c3cc(Cl)ccc3N=C1C	KINETOPLASTIDS
MMV688415	CO[C@@H]1CN(C[C@H]1O)c2ccc(C#CC3(O)CN4CCC3CC4)c(Cc5ccccc5)n2	KINETOPLASTIDS
MMV688467	CCCCN(CCCC)c1c(cc(cc1C#N)S(=O)(=O)Nc2ccccc2)C#N	KINETOPLASTIDS
MMV688474	COc1cc(ccc1n2cc(nn2)c3cccc(c3)C4=NCCN4)C5=NCCN5	KINETOPLASTIDS
MMV688514	NC(=N)c1ccc(cc1)c2cc(on2)c3ccccc3	KINETOPLASTIDS
MMV688547	COc1ccc(cc1c2cn(nn2)c3cccc(c3)C4=NCCN4)C5=NCCN5	KINETOPLASTIDS
MMV688550	CCc1ccccc1n2c(C)cn3c4C(=O)N(C(C(C)C)C(=O)OC)C(=O)N(C)c4nc23	KINETOPLASTIDS
MMV688754	CO\N=C(/C(=O)OC)\c1ccccc1CO\N=C(/C)\c2cccc(c2)C(F)(F)F	KINETOPLASTIDS
MMV688776	Cc1nn2C(=O)C3=C(CCCC3)Nc2c1c4ccc(Cl)cc4	KINETOPLASTIDS
MMV099637	Cc1nn2c(O)c3CCCCc3nc2c1c4ccc(F)cc4	KINETOPLASTIDS
MMV688793	Cc1onc(C)c1COc2cccc(c2)C(=O)Nc3ncccc3C	KINETOPLASTIDS
MMV688795	O=C(NCCc1ccn(n1)c2ccccc2)C3CCCCC3	KINETOPLASTIDS
MMV688796	Fc1ccc(cc1)c2oc(cc2)C(=O)NCc3nnc4CCCCCn34	KINETOPLASTIDS
MMV688797	CC1CCCCN1C(=O)NCCc2coc(n2)c3ccc(F)cc3	KINETOPLASTIDS
MMV688798	CS(=O)(=O)c1ccccc1C(=O)N(Cc2ccccc2)c3ccccc3	KINETOPLASTIDS
MMV688934	CCc1nn(C)c(C(=O)NCc2ccc(Oc3ccc(C)cc3)cc2)c1Cl	KINETOPLASTIDS
MMV688942	CC(C)(C)C(O)C(Oc1ccc(cc1)c2ccccc2)n3cncn3	KINETOPLASTIDS
MMV688943	CC1COC(Cn2cncn2)(O1)c3ccc(Oc4ccc(Cl)cc4)cc3Cl	KINETOPLASTIDS
MMV688958	O=C(NCCc1csc(n1)c2ccccc2)c3ccccc3	KINETOPLASTIDS
MMV675997	Fc1ccc(cc1)N2CCN(CCCCN(CC#N)C(=O)OCc3ccccc3)CC2	KINETOPLASTIDS
MMV688372	FC1=C(C=C(NC(=O)N2CCCC2)C=C1)C1=NC2=CC(=CN=C2N1)C1=CC=CC=C1	KINETOPLASTIDS
MMV595321	CC1=C(C)C(NC(N2N=C(C)C=C2NC(C3=CC=C(S(=O)(N(CC)CC)=O)C=C3)=O)=N1)=O	KINETOPLASTIDS
MMV689028	O=C(N1CCN(CC2=CC=C(NS(=O)(C3=CC=C(C)C=C3)=O)C=C2)CC1)C4=CC(C#N)=CC=C4	KINETOPLASTIDS
MMV689029	O=C(N1CCN(CC2=CC=C(NS(=O)(C3=CC=C(OC)C=C3)=O)C=C2)CC1)C4=CC(C#N)=CC=C4	KINETOPLASTIDS
MMV689061	CC1=C(F)C=CC=C1CN2CCCC(CC3=NC(C4=CC=C(NC(C)=O)C=C4)=NO3)C2	KINETOPLASTIDS
MMV689709	O=C(N1CC(C2=CC(NC)=CC(C)=N2)OCC1)C3=NNC4=C3C=CC=C4	KINETOPLASTIDS
MMV689060	Clc1ccc(CN2CCN(CC2)C3=NCCN3)cc1Cl	KINETOPLASTIDS
MMV689437	CC(N(C)c1ncc2c(N)nc(N)nc2n1)c3cc(Cl)cc(Cl)c3	KINETOPLASTIDS
MMV689243	FC(F)(F)c1ccc(cc1)N(C2CCN(CC2)c3ccc(cn3)C(F)(F)F)c4cccnc4	KINETOPLASTIDS
MMV689244	FC(F)(F)c1ccc(cc1)N2CCN(CC2)C(=O)[C@@H](c3ccc(Cl)cc3)c4cccnc4	KINETOPLASTIDS
MMV690027	COC1=C(OCCCCOC2=CC=C(C3=NNN=N3)C=C2)C=C(C([C@@H]4[C@H]5CC=CC4)=NN(C6CCCCCC6)C5=O)C=C1	KINETOPLASTIDS
MMV690028	COC1=C(OCCCCOC2=CC=C(C3=NNN=N3)C=C2)C=C(C4=NN(C5CCCCCC5)C(C4(C)C)=O)C=C1	KINETOPLASTIDS
MMV690103	C[C@@H](N(C)c1ncc2c(N)nc(N)nc2n1)c3ccc4CCCCc4c3	KINETOPLASTIDS
MMV690102	COc1ccc(Oc2ccc(cc2)[C@@H](C)N(C)c3ncc4c(N)nc(N)nc4n3)cc1	KINETOPLASTIDS
MMV675968	COc1ccc(OC)c(NCc2ccc3nc(N)nc(N)c3c2Cl)c1	CRYPTOSPORIDIOSIS
MMV675993	COc1ccc(cc1OC)c2nn(C(C)C)c3ncnc(N)c23	CRYPTOSPORIDIOSIS
MMV675994	Clc1ccc(cc1)n2cc(COc3ccnc4ccccc34)nn2	CRYPTOSPORIDIOSIS
MMV676050	CS(=O)(=O)N1CCC(Cn2nc(Cc3cccc4ccccc34)c5c(N)ncnc25)CC1	CRYPTOSPORIDIOSIS
MMV676053	COc1cc(NC(=O)CC2=NN(C)C(=O)c3ccccc23)ccc1Cl	CRYPTOSPORIDIOSIS
MMV676182	Nc1ncnc2c1c(Cc3cccc4ccccc34)nn2CC5CCNCC5	CRYPTOSPORIDIOSIS
MMV676191	CC(C)C(Oc1cccc2ccccc12)C(=O)O	CRYPTOSPORIDIOSIS
MMV676599	CC(C)(C)n1nc(Cc2cccc3ccccc23)c4c(N)ncnc14	CRYPTOSPORIDIOSIS
MMV688853	CCOc1ccc2cc(cnc2c1)c3nn(c(N)c3C(=O)N)C(C)(C)C	CRYPTOSPORIDIOSIS
MMV688854	CCOc1ccc2cc(ccc2c1)c3nn(CC4CCN(C)CC4)c5ncnc(N)c35	CRYPTOSPORIDIOSIS
MMV689255	Nc1ncnc2c1ncn2C[C@@H](O)[C@@H](O)C(=O)O	CRYPTOSPORIDIOSIS
MMV001493	COC(=O)C1=C(C)NC(=C(C1c2cccc3nonc23)C(=O)OC(C)C)C	L. FILARIASIS-ONCHOCERCIASIS
MMV002817	Oc1c(I)cc(I)c2cccnc12	L. FILARIASIS-ONCHOCERCIASIS
MMV671636	CC1=C(C(=O)c2c(F)cc(F)cc2N1)c3ccc(Oc4ccc(OC(F)(F)F)cc4)cc3	L. FILARIASIS-ONCHOCERCIASIS
MMV687775	CC1(C)OB(O)c2ccc(cc12)C3=NOC(C3)(c4cc(Cl)c(F)c(Cl)c4)C(F)(F)F	L. FILARIASIS-ONCHOCERCIASIS
MMV687776	Cc1cc(ccc1C(=O)NCc2ccc3B(O)OC(C)(C)c3c2)C4=NOC(C4)(c5cc(Cl)c(F)c(Cl)c5)C(F)(F)F	L. FILARIASIS-ONCHOCERCIASIS
MMV668727	Nc1ncc(cc1c2ccc(nc2)C(F)(F)F)c3ccc(nc3)C(F)(F)F	L. FILARIASIS-ONCHOCERCIASIS
MMV675996	COc1ccc(cc1)N(CCc2cccc(C)n2)C(=O)C3CCCCC3	L. FILARIASIS-ONCHOCERCIASIS
MMV676064	CC(=O)N(CCN(C(=O)c1ccc(F)cc1)c2ccccc2)c3ccccc3	L. FILARIASIS-ONCHOCERCIASIS
MMV676492	Sc1nnc(NC(=O)c2cc(Br)ccc2Cl)s1	L. FILARIASIS-ONCHOCERCIASIS
MMV675969	CC(C)(C)c1ccc(N[C@@H]2CCCC[C@H]2NC(=O)c3occc3)cc1	L. FILARIASIS-ONCHOCERCIASIS
MMV675995	COc1ccc(cc1)N(CCc2cccc(C)n2)C(=O)C	L. FILARIASIS-ONCHOCERCIASIS
MMV676204	Fc1ccc(cc1)C(=O)N(CCNc2ccccc2)c3ccccc3	L. FILARIASIS-ONCHOCERCIASIS
MMV676480	COC(=O)c1c2CCN(Cc3ccccc3)Cc2sc1NC(=O)C4=Cc5ccccc5OC4=O	L. FILARIASIS-ONCHOCERCIASIS
MMV676063	CCCCc1ccc(NC(=O)Nc2ccc(O[C@H]3CCCC[C@@H]3N(C)c4ccccc4)c(F)c2)cc1	L. FILARIASIS-ONCHOCERCIASIS
MMV407539	CCc1nc2ccc(cn2c1N(C)Cc3cccs3)C(=O)NCc4ccc5OCOc5c4	WOLBACHIA (LF)
MMV676398	CCS(=O)(=O)N(Cc1occc1)Cc2cc3ccc(C)cc3nc2O	WOLBACHIA (LF)
MMV1110498	FC(F)(F)C1=C(C(N2CCCCC2)=O)N(C=CC=C3OC)C3=N1	WOLBACHIA (LF)
MMV676382	Cn1ncc2c(nc(NCCc3c[nH]c4ccccc34)nc12)N1CCOCC1	SCHISTOSOMIASIS
MMV676536	COCC(C)NC(=O)CSc1ncnc2sc(cc12)-c1ccccc1	SCHISTOSOMIASIS
MMV688178	O(c1ccccc1)c1ccc(cc1)-c1cncc(n1)-c1ccc2[nH]ccc2c1	SCHISTOSOMIASIS
MMV688313	COc1ccc(cc1OC)-c1nnc2ccc(cn12)-c1cccc(c1)C(C)C	SCHISTOSOMIASIS
MMV688270	COc1ccc(cc1)-c1cnc2cnc(cn12)-c1cccc(OC(C)C)c1	SCHISTOSOMIASIS
MMV688762	C1CCN(C1)C(c2ccccn2)c3c([nH]c4ccccc34)c5ccccc5	SCHISTOSOMIASIS
MMV688771	Cc1ccccc1C(=O)N2N=C(Nc3ccccc3)SC2(C)C	SCHISTOSOMIASIS
MMV688768	CN1CCN(CC1)C(c2cccs2)c3c(C)[nH]c4ccccc34	SCHISTOSOMIASIS
MMV688763	CNc1nnc(SC2=C(Cl)C(=O)N(N=C2)c3ccccc3)s1	SCHISTOSOMIASIS
MMV688761	CS(=O)(=O)c1ccc(cc1[N+](=O)[O-])C(=O)N(CC2CCCO2)c3nc4ccccc4s3	SCHISTOSOMIASIS
MMV688552	CC(C(SC1=NC=CC=N1)=C2C)=NN2C(NC3=CC=CC(C(F)(F)F)=C3)=O	SCHISTOSOMIASIS
MMV688766	COc1ccc(c(O)c1)c2onc(c2c3ccc(Cl)cc3)C(F)(F)F	SCHISTOSOMIASIS
MMV1198433	CC(C)c1ccc(NC(=O)COC2=CC(=C(C#N)C(=O)N2C)C)cc1	SCHISTOSOMIASIS
MMV637229	ClC1=CC=C([C@@](C)(C2=CC=CC=C2)OCCC3N(C)CCC3)C=C1	HOOKWORM-TRICHURIASIS
MMV003270 	ClC1=CC(N=C(N)O2)=C2C=C1	HOOKWORM-TRICHURIASIS
MMV688330	CC(=O)N1CCN(CC1)c1ccc(Oc2ccc(Cl)cc2O)cc1	TOXOPLASMOSIS
MMV688345	Nc1nc(N)c2c3CCN(Cc4ccccc4)Cc3sc2n1	TOXOPLASMOSIS
MMV688364	CC(C)(C)OC(=O)N1CCC(Cn2nc(-c3cnc4ccccc4c3)c3c(N)ncnc23)CC1	TOXOPLASMOSIS
MMV688411	Nc1ncnc2n(CC3CCNCC3)nc(-c3cnc4ccccc4c3)c12	TOXOPLASMOSIS
MMV688417	CC(C)n1nc(-c2cc3c(Cl)cccc3[nH]2)c2c(N)ncnc12	TOXOPLASMOSIS
MMV688469	Nc1ncnc2[nH]nc(Cc3cccc4ccccc34)c12	TOXOPLASMOSIS
MMV688470	CS(=O)(=O)N1CCC(CCn2nc(Cc3cccc4ccccc34)c3c(N)ncnc23)CC1	TOXOPLASMOSIS
MMV688471	CC(C(=O)Nc1ccc2oc(nc2c1)-c1ccncc1)c1ccccc1	TOXOPLASMOSIS
MMV688472	CC(Oc1cccc(Cl)c1)C(=O)Nc1ccc2oc(nc2c1)-c1ccncc1	TOXOPLASMOSIS
MMV688509	Fc1ccc(cc1)-c1[nH]c(cc1-c1ccncc1)C1CCN(CC1)C(=O)OCc1ccccc1	TOXOPLASMOSIS
MMV688548	CC(C)(C)n1nc(-c2ccccc2)c2c(N)ncnc12	TOXOPLASMOSIS
MMV688703	CN1CCC(CC1)c1cc(c([nH]1)-c1ccc(F)cc1)-c1ccncc1	TOXOPLASMOSIS
MMV688704	Cc1cc2nc(NC(=O)C(C)(C)C)nc(Cl)c2n1Cc1ccc(Cl)cc1	TOXOPLASMOSIS
MMV688852	CC(C)(C)n1nc(Cc2ccc(F)c(Cl)c2)c2c(N)ncnc12	TOXOPLASMOSIS
MMV688955	Cc1cc(NC(=O)c2ccc(Oc3ccc(Cl)cc3O)o2)no1	TOXOPLASMOSIS
MMV688350	COC(=O)c1ccc(F)cc1NS(=O)(=O)c2cccc(c2)c3cnn(Cc4ccccc4)c3	DENGUE-CHIKUNGUNYA
MMV688416	CC(C)(C)OC(=O)N1CCN(CC1)c2nccc(n2)c3ccc(s3)c4ccc(Cl)cc4	DENGUE-CHIKUNGUNYA
MMV688543	CC(C)(C)C(=O)N(CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)C2CCCCCC2	DENGUE-CHIKUNGUNYA
MMV688921	OC[C@H]1O[C@H](C(O)[C@H]1O)n2c3ccc(Cl)cc3c4c(ncnc24)c5oc6ccccc6c5	DENGUE-CHIKUNGUNYA
MMV688352	Clc1ccc(cc1)[C@@H]2[C@H](Oc3ccccc3)C(=O)N2CCn4cnc5c(NCc6ccccc6)ncnc45	DENGUE-CHIKUNGUNYA
